ep 0, a_n 100, epsilon 0.900, total_reward 5.650297183611981, step 100
ep 1, a_n 26, epsilon 0.900, total_reward 130.24861069793485, step 126
ep 2, a_n 100, epsilon 0.900, total_reward 4.972766321159558, step 226
ep 3, a_n 100, epsilon 0.900, total_reward 3.4272393348674575, step 326
ep 4, a_n 100, epsilon 0.900, total_reward 70.2130790755293, step 426
ep 5, a_n 100, epsilon 0.900, total_reward 1.0375317427455184, step 526
ep 6, a_n 100, epsilon 0.900, total_reward -8.33439149204732, step 626
ep 7, a_n 100, epsilon 0.900, total_reward 54.057915360531055, step 726
ep 8, a_n 100, epsilon 0.900, total_reward 62.28696823529379, step 826
ep 9, a_n 100, epsilon 0.900, total_reward 20.831005814595898, step 926
ep 10, a_n 100, epsilon 0.900, total_reward -6.360193731990635, step 1026
ep 11, a_n 100, epsilon 0.900, total_reward 42.77245517731071, step 1126
ep 12, a_n 100, epsilon 0.900, total_reward 61.72662699468589, step 1226
ep 13, a_n 100, epsilon 0.900, total_reward 73.47177017184515, step 1326
ep 14, a_n 100, epsilon 0.900, total_reward 3.2239721968861796, step 1426
ep 15, a_n 100, epsilon 0.900, total_reward 32.17418183320793, step 1526
ep 16, a_n 100, epsilon 0.900, total_reward 55.36384282102774, step 1626
ep 17, a_n 100, epsilon 0.900, total_reward 45.910662508955824, step 1726
ep 18, a_n 100, epsilon 0.900, total_reward 50.15846386513237, step 1826
ep 19, a_n 100, epsilon 0.900, total_reward 43.05301408043319, step 1926
ep 20, a_n 100, epsilon 0.898, total_reward 20.973227693018433, step 2026
ep 21, a_n 100, epsilon 0.891, total_reward 53.60764702031295, step 2126
ep 22, a_n 100, epsilon 0.883, total_reward 15.510842196860567, step 2226
ep 23, a_n 100, epsilon 0.875, total_reward 7.237147092297252, step 2326
ep 24, a_n 100, epsilon 0.867, total_reward -21.085052001119376, step 2426
ep 25, a_n 100, epsilon 0.860, total_reward 37.66824608046255, step 2526
ep 26, a_n 100, epsilon 0.852, total_reward 26.764117132090487, step 2626
ep 27, a_n 100, epsilon 0.845, total_reward 0.5059278233659484, step 2726
ep 28, a_n 100, epsilon 0.837, total_reward -3.3331743663139157, step 2826
ep 29, a_n 69, epsilon 0.833, total_reward 17.010522089207868, step 2895
ep 30, a_n 100, epsilon 0.825, total_reward -21.363277634230542, step 2995
ep 31, a_n 100, epsilon 0.818, total_reward 26.225657963888512, step 3095
ep 32, a_n 100, epsilon 0.811, total_reward 25.39909743638265, step 3195
ep 33, a_n 100, epsilon 0.804, total_reward 12.987575570524744, step 3295
ep 34, a_n 100, epsilon 0.797, total_reward 27.610817104550456, step 3395
ep 35, a_n 100, epsilon 0.790, total_reward -18.889070121322444, step 3495
ep 36, a_n 100, epsilon 0.783, total_reward 5.474483179173408, step 3595
ep 37, a_n 100, epsilon 0.776, total_reward 20.024819082719077, step 3695
ep 38, a_n 100, epsilon 0.769, total_reward -3.2405259717444164, step 3795
ep 39, a_n 100, epsilon 0.763, total_reward 9.792058023609043, step 3895
ep 40, a_n 72, epsilon 0.758, total_reward 6.4652942424649815, step 3967
ep 41, a_n 100, epsilon 0.751, total_reward -30.311614871206956, step 4067
ep 42, a_n 100, epsilon 0.744, total_reward 19.318476692796303, step 4167
ep 43, a_n 100, epsilon 0.738, total_reward -10.10893489632602, step 4267
ep 44, a_n 100, epsilon 0.731, total_reward 37.65002486815539, step 4367
ep 45, a_n 100, epsilon 0.725, total_reward 37.821211957180644, step 4467
ep 46, a_n 100, epsilon 0.719, total_reward 29.845112195071238, step 4567
ep 47, a_n 100, epsilon 0.712, total_reward 11.142903824564025, step 4667
ep 48, a_n 100, epsilon 0.706, total_reward 17.77050536208027, step 4767
ep 49, a_n 100, epsilon 0.700, total_reward 7.089700849265315, step 4867
ep 50, a_n 100, epsilon 0.694, total_reward 13.673063651899913, step 4967
ep 51, a_n 100, epsilon 0.688, total_reward -7.76684902525477, step 5067
ep 52, a_n 100, epsilon 0.682, total_reward 42.98173116207646, step 5167
ep 53, a_n 100, epsilon 0.676, total_reward -10.128836625057204, step 5267
ep 54, a_n 100, epsilon 0.670, total_reward 46.464488678040965, step 5367
ep 55, a_n 97, epsilon 0.664, total_reward 9.251731956359308, step 5464
ep 56, a_n 100, epsilon 0.658, total_reward -27.543942889488964, step 5564
